source_id,timestamp,asset_tag,basin_level_in,basin_screen_condition,fan_status,gearbox_oil_level,gearbox_oil_temp_F,approach_F_manual,bv204_observed_position_pct,drift_eliminator_condition,operator_or_tech_note
CT-LOG-001,2026-05-04 06:30,CT-2,34,light algae,running,mid sight glass,143,7.6,20,normal,approach normal during first low-flow event
CT-LOG-002,2026-05-05 09:00,CT-2,31,algae mat and leaves,running,mid sight glass,145,10.5,22,normal,basin screen rinsed under WO-78107
CT-LOG-003,2026-05-08 14:15,CT-2,30,moderate algae,running,low-mid sight glass,148,12.2,27,normal,approach high but gearbox vibration normal
CT-LOG-004,2026-05-09 05:10,CT-2,29,moderate algae and leaf litter,running,low-mid sight glass,150,12.8,34,normal,"high approach aligns with chiller trip, but pump seal leak observed separately"
CT-LOG-005,2026-05-10 11:00,CT-2,32,moderate algae,running,low sight glass,151,10.6,25,normal,fan running; bypass partly open
CT-LOG-006,2026-05-12 07:40,CT-2,28,screen 60 percent matted,running,lower sight glass,154,13.7,37,some cracked blades,before basin cleaning and gearbox top-off
CT-LOG-007,2026-05-12 12:10,CT-2,34,screen cleaned,running,mid sight glass,146,8.0,19,some cracked blades,after cleaning; approach improved
CT-LOG-008,2026-05-13 06:45,CT-2,35,clean,running,mid sight glass,144,7.2,19,some cracked blades,tower not limiting during low-flow alarm
CT-LOG-009,2026-05-15 14:15,CT-2,35,clean,running,mid sight glass,144,7.7,19,some cracked blades,strainer DP high despite tower approach normal
CT-LOG-010,2026-05-16 08:05,CT-2,34,clean,running,mid sight glass,143,7.2,20,some cracked blades,normal approach during vibration alarm
CT-LOG-011,2026-05-17 06:15,CT-2,33,clean,running,mid sight glass,144,7.8,21,some cracked blades,normal approach during chiller trip
CT-LOG-012,2026-05-18 12:10,CT-2,34,clean,running,mid sight glass,144,7.3,20,some cracked blades,tower condition stable
